scaffold,split,sample_size,view,method,level,unit_level,iterations,observed_precision,observed_recall,observed_f1,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,units,requests
openhands,minimax_m25,1000,cumulative_raw,hybrid,session,session,200,0.9714656290531777,0.9986666666666667,0.9848783694937542,0.9701485167396683,0.9419765530578309,0.9920504793704749,0.9986925,0.9965,1.0,0.9841620678654683,0.9691142807641745,0.9951902681866167,1000,12000
openhands,minimax_m25,1000,cumulative_raw,hybrid,project,session,200,0.9930124223602484,1.0,0.9964939618231399,0.9925616784405145,0.9727507545529492,1.0,1.0,1.0,1.0,0.9962530455522939,0.986187138031869,1.0,1000,12000
openhands,minimax_m25,1000,cumulative_raw,hybrid,org,session,200,0.9748743718592965,1.0,0.9872773536895675,0.9758578790902636,0.9447290549476061,0.9959140176353195,1.0,1.0,1.0,0.987722478199127,0.9715790985895487,0.9979528264584735,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,session,session,200,0.9841413683733575,0.362,0.5293042524674059,0.9832547756954092,0.9437798334819225,1.0,0.3620158333333333,0.3366541666666667,0.38835,0.529012185075009,0.5020478303778529,0.5584864556031247,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,12000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,session,session,200,0.9441624365482234,0.062,0.1163590866437285,0.9475207116314877,0.8951957354934811,0.9830187852085662,0.061994999999999995,0.05499166666666666,0.06916666666666667,0.11634898282525813,0.10389628504244489,0.1285541545998398,1000,4000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,project,session,200,0.9930114049987867,0.9998534010946052,0.9964206579171637,0.9925604475031841,0.9727423267044341,1.0,0.9998427152216683,0.9994572694254898,1.0,0.9961743922370795,0.9860282297260698,1.0,1000,4000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,org,session,200,0.9748717411789342,0.9998926116838488,0.9872236653766633,0.9758555022770844,0.9447287945010165,0.9959131341455747,0.999897293156801,0.9996633194582639,1.0,0.9876711303077172,0.9715766384767348,0.9978442883124059,1000,4000
openhands,minimax_m25,1000,turn_delta_no_workspace,hybrid,session,session,200,0.9459459459459459,0.011666666666666667,0.02304906157392163,0.9504213233892085,0.8550439667806546,1.0,0.011666666666666667,0.008495833333333334,0.015179166666666669,0.02304412591183127,0.01682133831851252,0.029904271138484963,1000,4000
openhands,minimax_m25,1000,turn_delta_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,4000
openhands,minimax_m25,1000,turn_delta_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,4000
openhands,qwen35_122b,500,cumulative_raw,hybrid,session,session,200,0.9493189737092176,0.999,0.9735260678902062,0.9480413648378345,0.8944983239820139,0.9894354572466161,0.99894,0.997,1.0,0.9726360863118836,0.9429934756993649,0.9941947254934483,500,6000
openhands,qwen35_122b,500,cumulative_raw,hybrid,project,session,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,6000
openhands,qwen35_122b,500,cumulative_raw,hybrid,org,session,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,6000
openhands,qwen35_122b,500,cumulative_no_workspace,hybrid,session,session,200,1.0,0.377,0.5475671750181554,1.0,1.0,1.0,0.37670166666666666,0.336625,0.4176833333333334,0.5469279325098388,0.5036939486489769,0.5892477087439211,500,6000
openhands,qwen35_122b,500,cumulative_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
openhands,qwen35_122b,500,cumulative_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
openhands,qwen35_122b,500,turn_delta_raw,hybrid,session,session,200,0.6904761904761905,0.019333333333333334,0.037613488975356685,0.7034794978984152,0.48952285139407875,0.8863599480688089,0.019156666666666666,0.013,0.02634166666666667,0.03726852698634578,0.025531080244552175,0.050964938892911926,500,2000
openhands,qwen35_122b,500,turn_delta_raw,hybrid,project,session,200,1.0,0.9927018633540373,0.9963375672095379,1.0,1.0,1.0,0.9925083759140476,0.9744565812339582,1.0,0.9962256693561627,0.9870630210271107,1.0,500,2000
openhands,qwen35_122b,500,turn_delta_raw,hybrid,org,session,200,1.0,0.9935226019845645,0.9967507777393709,1.0,1.0,1.0,0.9937808973210523,0.9797048484806746,1.0,0.9968706718867737,0.9897483935481161,1.0,500,2000
openhands,qwen35_122b,500,turn_delta_no_workspace,hybrid,session,session,200,1.0,0.004666666666666667,0.009289980092899802,1.0,1.0,1.0,0.00476,0.002,0.007675000000000001,0.009470138677396808,0.003992015968063872,0.015233080772280244,500,2000
openhands,qwen35_122b,500,turn_delta_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
openhands,qwen35_122b,500,turn_delta_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,minimax_m25,500,cumulative_raw,hybrid,session,session,200,0.9812316715542522,0.5576666666666666,0.7111583421891604,0.9819990540912744,0.9317497769394539,1.0,0.5563066666666667,0.5158916666666667,0.5980583333333334,0.7099270261608033,0.6762919118137326,0.7453452192585164,500,6000
sweagent,minimax_m25,500,cumulative_raw,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,minimax_m25,500,cumulative_raw,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,minimax_m25,500,cumulative_no_workspace,hybrid,session,session,200,0.9812316715542522,0.5576666666666666,0.7111583421891604,0.9819990540912744,0.9317497769394539,1.0,0.5563066666666667,0.5158916666666667,0.5980583333333334,0.7099270261608033,0.6762919118137326,0.7453452192585164,500,6000
sweagent,minimax_m25,500,cumulative_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,minimax_m25,500,cumulative_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,minimax_m25,500,turn_delta_raw,hybrid,session,session,200,0.9767441860465116,0.014,0.027604337824515282,0.9789126202572295,0.8260230179028133,1.0,0.014006666666666667,0.008,0.022008333333333335,0.02759457939755711,0.015867113984125686,0.04306772184577727,500,2000
sweagent,minimax_m25,500,turn_delta_raw,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,minimax_m25,500,turn_delta_raw,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,minimax_m25,500,turn_delta_no_workspace,hybrid,session,session,200,0.9767441860465116,0.014,0.027604337824515282,0.9789126202572295,0.8260230179028133,1.0,0.014006666666666667,0.008,0.022008333333333335,0.02759457939755711,0.015867113984125686,0.04306772184577727,500,2000
sweagent,minimax_m25,500,turn_delta_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,minimax_m25,500,turn_delta_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,qwen35_122b,500,cumulative_raw,hybrid,session,session,200,1.0,0.5383333333333333,0.6998916576381365,1.0,1.0,1.0,0.5372699999999999,0.49494166666666667,0.5813916666666668,0.6987105314528421,0.6621550769947763,0.7352911058397931,500,6000
sweagent,qwen35_122b,500,cumulative_raw,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,qwen35_122b,500,cumulative_raw,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,qwen35_122b,500,cumulative_no_workspace,hybrid,session,session,200,1.0,0.5343333333333333,0.696502281121008,1.0,1.0,1.0,0.53325,0.4913166666666667,0.5777583333333334,0.6953078376510315,0.6589031998035959,0.7323785775950068,500,6000
sweagent,qwen35_122b,500,cumulative_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,qwen35_122b,500,cumulative_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,6000
sweagent,qwen35_122b,500,turn_delta_raw,hybrid,session,session,200,1.0,0.0016666666666666668,0.0033277870216306157,0.99,1.0,1.0,0.00185,0.0006666666666666666,0.0033416666666666686,0.003692143001095891,0.0013324450366422385,0.00666106888253591,500,2000
sweagent,qwen35_122b,500,turn_delta_raw,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,qwen35_122b,500,turn_delta_raw,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,qwen35_122b,500,turn_delta_no_workspace,hybrid,session,session,200,1.0,0.0016666666666666668,0.0033277870216306157,0.99,1.0,1.0,0.00185,0.0006666666666666666,0.0033416666666666686,0.003692143001095891,0.0013324450366422385,0.00666106888253591,500,2000
sweagent,qwen35_122b,500,turn_delta_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
sweagent,qwen35_122b,500,turn_delta_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,2000
